"TIPO_INSTITUCION","CARRERA","INSTITUCION","AREAS_CONOCIMIENTO","EMPLEABILIDAD_PRIMER_ANO","EMPLEABILIDAD_SEGUNDO_ANO","REGION_MAYOR_NUMERO_TITULADOS","N_MATRICULADOS_PRIMER_ANO","N_MATRICULADOS_TOTAL","ESTUDIANTES_MUNICIPALES","ESTUDIANTES_PARTICULAR_SUBVENCIONADO","ESTUDIANTES_PARTICULAR_PAGADO","PORCENTAJE_ESTUDIANTES_PSU","PROMEDIO_PSU","PROMEDIO_NEM","TASA_RETENCION_PRIMER_ANO","TASA_RETENCION_SEGUNDO_ANO","N_TITULADOS","DURACION_ESPERADA","DURACION_REAL","PROMEDIO_ARANCEL","DIRECCION_CASA_CENTRAL","INGRESO_ANO_1","INGRESO_ANO_2","INGRESO_ANO_3","INGRESO_ANO_4","INGRESO_ANO_5","INGRESO_ANO_6","INGRESO_ANO_7","INGRESO_ANO_8"
"Universidad Particular con Aporte del Estado","Periodismo","UNIVERSIDAD AUSTRAL DE CHILE","Humanidades","81,6%","88,9%","XIV. Los Ríos",53,220,"47,0%","46,4%","6,6%","> 80% a 100%",534,"5,5","No Disponible","No Disponible",45,10,"15,4",2310000,"Independencia 641, Valdivia",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Particular con Aporte del Estado","Periodismo","UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Humanidades","62,8%","83,7%","VIII. Bío Bío",56,270,"35,6%","55,2%","9,2%","> 80% a 100%",535,"5,7","83,40%","68,40%",81,11,"15,2",2115000,"Calle Caupolican 491  Concepción",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Particular con Aporte del Estado","Periodismo","UNIVERSIDAD CATÓLICA DEL NORTE","Humanidades","66,7%","73,8%","II. Antofagasta",49,218,"28,7%","59,0%","12,3%","> 80% a 100%",534,"5,6","66,70%","55,60%",33,10,"12,3",2431675,"A. Libertador Bernardo O'higgins 292 Of 22  Santiago",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Privada","Periodismo","UNIVERSIDAD DE ARTE Y CIENCIAS SOCIALES ARCIS","Humanidades","73,5%","76,3%","RM. Región Metropolitana",,79,"40,0%","60,0%","0,0%",,,,"No Disponible","No Disponible",53,12,18,2018000,"Libertad 53, Santiago",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Privada","Periodismo","UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACIÓN - UNIACC","Humanidades","77,9%","97,0%","RM. Región Metropolitana",37,196,"11,5%","45,8%","42,7%","> 60% a 80%",535,"5,5","No Disponible","No Disponible",62,10,"13,8",5330000,"Av. Salvador 1200, Providencia, Santiago",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Estatal","Periodismo","UNIVERSIDAD DE CHILE","Humanidades","84,0%","82,1%","RM. Región Metropolitana",81,411,"24,5%","41,6%","33,9%","> 80% a 100%",654,"6,2","87,50%","82,90%",67,10,"12,7",2401660,"Avenida Libertador Bernardo O´Higgins 1058, Santiago",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Particular con Aporte del Estado","Periodismo","UNIVERSIDAD DE CONCEPCIÓN","Humanidades","76,5%","75,9%","VIII. Bío Bío",45,234,"31,9%","49,1%","19,0%","> 80% a 100%",595,"5,9","92,90%","82,20%",43,10,"12,8",2274200,"Calle Víctor Lamas 1290, Concepción",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Estatal","Periodismo","UNIVERSIDAD DE LA FRONTERA","Humanidades","65,1%","84,6%","IX. La Araucanía",25,128,"32,7%","63,6%","3,7%","> 80% a 100%",543,"5,6","No Disponible","No Disponible",55,10,"13,7",1991000,"Avenida Francisco Salazar 01145, Temuco",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Privada","Periodismo","UNIVERSIDAD DE LOS ANDES","Humanidades","80,4%","91,4%","RM. Región Metropolitana",38,197,"2,2%","7,9%","89,9%","> 60% a 80%",616,"5,9","85,80%","59,00%",27,12,"12,6",4028064,"Av. San Carlos de Apoquindo 2200, Las Condes, Santiago",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Estatal","Periodismo","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Humanidades","67,3%","81,8%","V. Valparaíso",43,182,"25,8%","63,9%","10,3%","> 80% a 100%",568,"5,5","No Disponible","No Disponible",34,10,"13,3",2077000," Av. Playa Ancha 850, Valparaiso",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Privada","Periodismo","UNIVERSIDAD DE VIÑA DEL MAR","Humanidades","61,7%","80,8%","V. Valparaíso",23,132,"6,4%","37,6%","56,0%","> 60% a 80%",515,"5,5","No Disponible","No Disponible",31,10,"13,9",2940000,"Diego Portales 90, Recreo, Viña del Mar",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Privada","Periodismo","UNIVERSIDAD DEL DESARROLLO","Humanidades","81,6%","84,5%","RM. Región Metropolitana",69,334,"3,7%","14,3%","82,1%","> 80% a 100%",573,"5,6","82,50%","65,00%",69,10,"13,6",3598500,"Av. Plaza 680, San Carlos de Apoquindo, Las Condes",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Privada","Periodismo","UNIVERSIDAD DIEGO PORTALES","Humanidades","78,1%","84,8%","RM. Región Metropolitana",105,596,"6,0%","22,8%","71,2%","> 80% a 100%",596,"5,7","92,50%","70,80%",103,10,"12,3",3700000," Avda. Manuel Rodríguez Sur 361",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Privada","Periodismo","UNIVERSIDAD NACIONAL ANDRÉS BELLO","Humanidades","61,1%","69,4%","RM. Región Metropolitana",40,342,"14,3%","60,4%","25,3%","> 40% a 60%",516,"5,6","75,90%","69,40%",108,10,"13,7",3685000,"Av. República 237, Santiago",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Privada","Periodismo","UNIVERSIDAD SAN SEBASTIÁN","Humanidades",,,"VIII. Bío Bío",,57,"26,1%","52,2%","21,7%",,,,"No Disponible","No Disponible",24,10,"13,4",2352800,"General Cruz 1577, Concepción",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Particular con Aporte del Estado","Psicología","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Ciencias Sociales","85,7%","89,7%","RM. Región Metropolitana",126,853,"5,2%","12,5%","82,3%","> 60% a 80%",724,"6,5","99,10%","96,30%",114,10,12,3803000,"Avda Libertador Bernardo O Higgins 340",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Particular con Aporte del Estado","Psicología","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Ciencias Sociales","87,6%","89,8%","V. Valparaíso",60,297,"11,8%","45,8%","42,4%","> 80% a 100%",666,"6,3","No Disponible","No Disponible",44,11,"17,2",3076000,"Brasil 2241  Valparaíso 2362807, Quinta Región de Valparaíso",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Psicología","UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO","Ciencias Sociales","82,0%","88,4%","RM. Región Metropolitana",106,374,"31,3%","57,9%","10,7%","> 60% a 80%",544,"5,6","64,80%","64,80%",49,12,"17,2",2270000,"Condell 343, Providencia, Santiago de Chile",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Particular con Aporte del Estado","Psicología","UNIVERSIDAD CATÓLICA DEL NORTE","Ciencias Sociales","81,5%","91,9%","II. Antofagasta",89,418,"27,9%","52,1%","20,0%","> 80% a 100%",583,6,"83,20%","78,70%",45,10,"12,9",2431675,"A. Libertador Bernardo O'higgins 292 Of 22  Santiago",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Psicología","UNIVERSIDAD CENTRAL DE CHILE","Ciencias Sociales","83,5%","92,9%","RM. Región Metropolitana",217,890,"16,3%","55,3%","28,4%","> 80% a 100%",554,"5,6","82,00%","64,00%",114,10,"13,8",2460000,"Lord Cochrane 416, Santiago",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Psicología","UNIVERSIDAD DE ARTE Y CIENCIAS SOCIALES ARCIS","Ciencias Sociales","88,3%","82,7%","RM. Región Metropolitana",83,542,"29,1%","62,7%","8,2%","> 20% a 40%",485,"5,4","65,60%","47,10%",110,10,"16,4",1929000,"Libertad 53, Santiago",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Estatal","Psicología","UNIVERSIDAD DE CHILE","Ciencias Sociales","85,6%","78,5%","RM. Región Metropolitana",90,443,"30,7%","33,5%","35,8%","> 80% a 100%",683,"6,5","96,40%","91,00%",56,12,"16,8",2315660,"Avenida Libertador Bernardo O´Higgins 1058, Santiago",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Psicología","UNIVERSIDAD DE CIENCIAS DE LA INFORMÁTICA","Ciencias Sociales","73,2%","91,8%","RM. Región Metropolitana",42,264,"21,2%","75,3%","3,4%","> 40% a 60%",453,"5,3","No Disponible","No Disponible",71,11,"12,9",1738000,"Pedro de Valdivia 450, Santiago",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Particular con Aporte del Estado","Psicología","UNIVERSIDAD DE CONCEPCIÓN","Ciencias Sociales","93,1%","96,6%","VIII. Bío Bío",72,370,"26,6%","49,7%","23,7%","> 80% a 100%",652,"6,3","93,90%","90,80%",41,11,"12,5",2373800,"Calle Víctor Lamas 1290, Concepción",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Estatal","Psicología","UNIVERSIDAD DE LA FRONTERA","Ciencias Sociales","89,6%","94,9%","IX. La Araucanía",64,268,"32,6%","58,2%","9,2%","> 80% a 100%",618,"6,1","91,40%","88,00%",80,10,"12,1",2105000,"Avenida Francisco Salazar 01145, Temuco",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Estatal","Psicología","UNIVERSIDAD DE LA SERENA","Ciencias Sociales","94,1%","77,3%","IV. Coquimbo",42,207,"24,6%","68,6%","6,8%","> 80% a 100%",594,"6,1","86,80%","77,40%",51,10,"12,2",2237520,"Benavente 980,La Serena",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Psicología","UNIVERSIDAD DE LAS AMÉRICAS","Ciencias Sociales","66,8%","93,0%","RM. Región Metropolitana",455,1748,"32,9%","59,9%","7,2%","> 40% a 60%",497,"5,5","69,70%","49,70%",344,11,"12,8",2449363,"Avenida Manuel Montt 948, Providencia, Santiago",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Psicología","UNIVERSIDAD DE LOS ANDES","Ciencias Sociales","80,5%","96,6%","RM. Región Metropolitana",53,365,"1,9%","1,9%","96,3%","> 60% a 80%",659,"6,3","86,70%","85,00%",46,14,"14,1",4112134,"Av. San Carlos de Apoquindo 2200, Las Condes, Santiago",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Estatal","Psicología","UNIVERSIDAD DE SANTIAGO DE CHILE","Ciencias Sociales","74,8%","92,9%","RM. Región Metropolitana",69,419,"30,5%","55,7%","13,8%","> 80% a 100%",661,"6,2","89,80%","80,90%",88,11,"13,7",2356700,"Avenida Libertador Bernardo O'Higgins 3363, Santiago",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Estatal","Psicología","UNIVERSIDAD DE TARAPACÁ","Ciencias Sociales","86,6%","90,0%","XV. Arica y Parinacota",126,634,"35,5%","59,4%","5,1%","> 80% a 100%",548,"5,9","76,30%","54,10%",74,11,"14,1",2027000," General Velásquez 1775. Arica",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Estatal","Psicología","UNIVERSIDAD DE VALPARAÍSO","Ciencias Sociales","86,4%","89,8%","V. Valparaíso",85,475,"19,4%","59,1%","21,5%","> 80% a 100%",617,"6,3","81,90%","74,80%",53,10,"12,9",2303000,"Errázuriz 1834, Valparaiso, Chile",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Psicología","UNIVERSIDAD DE VIÑA DEL MAR","Ciencias Sociales","82,4%","97,0%","V. Valparaíso",92,305,"16,7%","62,0%","21,3%","> 60% a 80%",510,"5,5","84,70%","81,60%",43,10,"13,3",2940000,"Diego Portales 90, Recreo, Viña del Mar",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Psicología","UNIVERSIDAD DEL DESARROLLO","Ciencias Sociales","88,1%","91,6%","VIII. Bío Bío",135,794,"5,0%","22,1%","72,9%","> 80% a 100%",604,"5,9","86,10%","76,00%",130,11,"15,7",3883000,"Av. Plaza 680, San Carlos de Apoquindo, Las Condes",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Psicología","UNIVERSIDAD DIEGO PORTALES","Ciencias Sociales","77,7%","88,2%","RM. Región Metropolitana",184,881,"7,9%","16,1%","76,0%","> 80% a 100%",642,6,"88,90%","71,50%",201,10,"13,1",3800000," Avda. Manuel Rodríguez Sur 361",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Psicología","UNIVERSIDAD NACIONAL ANDRÉS BELLO","Ciencias Sociales","69,5%","92,5%","RM. Región Metropolitana",279,1190,"11,2%","43,0%","45,8%","> 60% a 80%",566,"5,6","80,90%","66,60%",104,12,"14,3",3345983,"Av. República 237, Santiago",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Psicología","UNIVERSIDAD SAN SEBASTIÁN","Ciencias Sociales","86,7%","95,5%","VIII. Bío Bío",238,870,"40,7%","47,2%","12,2%","> 80% a 100%",541,"5,7","79,40%","69,10%",136,10,"12,5",2823375,"General Cruz 1577, Concepción",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Psicología","UNIVERSIDAD SANTO TOMÁS","Ciencias Sociales","65,3%","82,5%","RM. Región Metropolitana",775,2998,"37,8%","57,2%","5,0%","> 60% a 80%",527,"5,5","82,40%","68,70%",243,10,"10,1",2097444,"Av.Ejército 146 Barrio Universitario, Santiago",571331,653675,725879,782172,854287,935833,1021236,1078713
"Universidad Privada","Publicidad","UNIVERSIDAD DE LAS AMÉRICAS","Ciencias Sociales","58,5%","62,7%","RM. Región Metropolitana",37,149,"20,4%","69,4%","10,2%","> 40% a 60%",494,"5,3","No Disponible","No Disponible",42,8,"12,5",2259140,"Avenida Manuel Montt 948, Providencia, Santiago",501138,619092,744646,787867,799474,816230,911351,975584
"Universidad Estatal","Publicidad","UNIVERSIDAD DE SANTIAGO DE CHILE","Ciencias Sociales","55,0%","68,3%","RM. Región Metropolitana",62,294,"31,1%","57,9%","11,0%","> 80% a 100%",628,6,"91,60%","81,40%",56,9,"11,1",2575200,"Avenida Libertador Bernardo O'Higgins 3363, Santiago",501138,619092,744646,787867,799474,816230,911351,975584
"Universidad Privada","Publicidad","UNIVERSIDAD DEL PACÍFICO","Ciencias Sociales","69,3%","75,0%","RM. Región Metropolitana",166,847,"6,1%","23,6%","70,2%","> 60% a 80%",544,"5,6","78,80%","68,90%",54,9,"11,4",3705000,"Angamos 680, Reñaca Viña del Mar, Chile",501138,619092,744646,787867,799474,816230,911351,975584
"Universidad Privada","Publicidad","UNIVERSIDAD DIEGO PORTALES","Ciencias Sociales","67,0%","66,0%","RM. Región Metropolitana",79,474,"12,0%","43,2%","44,8%","> 80% a 100%",559,"5,7","82,10%","73,60%",64,9,"11,4",3500000," Avda. Manuel Rodríguez Sur 361",501138,619092,744646,787867,799474,816230,911351,975584
"Universidad Particular con Aporte del Estado","Química y Farmacia","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Ciencias Básicas","97,0%","100,0%","RM. Región Metropolitana",96,542,"35,3%","42,8%","21,9%","> 60% a 80%",672,"6,3","92,50%","81,10%",56,10,"15,8",2963000,"Avda Libertador Bernardo O Higgins 340",1002846,1071302,1130262,1192029,1177122,1162303,1183779,1250303
"Universidad Particular con Aporte del Estado","Química y Farmacia","UNIVERSIDAD AUSTRAL DE CHILE","Ciencias Básicas","98,9%","97,5%","XIV. Los Ríos",55,445,"43,6%","51,5%","4,9%","> 80% a 100%",599,"6,2","91,90%","85,30%",35,10,"18,7",2600000,"Independencia 641, Valdivia",1002846,1071302,1130262,1192029,1177122,1162303,1183779,1250303
"Universidad Estatal","Química y Farmacia","UNIVERSIDAD DE CHILE","Ciencias Básicas","93,6%","95,7%","RM. Región Metropolitana",140,796,"39,0%","46,2%","14,8%","> 80% a 100%",669,"6,2","89,40%","83,30%",93,12,16,2785660,"Avenida Libertador Bernardo O´Higgins 1058, Santiago",1002846,1071302,1130262,1192029,1177122,1162303,1183779,1250303
"Universidad Particular con Aporte del Estado","Química y Farmacia","UNIVERSIDAD DE CONCEPCIÓN","Ciencias Básicas","96,3%","100,0%","VIII. Bío Bío",89,578,"43,3%","48,1%","8,7%","> 80% a 100%",623,"6,3","87,40%","84,00%",52,11,"16,2",2572000,"Calle Víctor Lamas 1290, Concepción",1002846,1071302,1130262,1192029,1177122,1162303,1183779,1250303
"Universidad Estatal","Química y Farmacia","UNIVERSIDAD DE VALPARAÍSO","Ciencias Básicas","96,8%","100,0%","V. Valparaíso",48,402,"19,7%","65,4%","14,9%","> 80% a 100%",630,"6,3","94,20%","85,30%",36,11,"17,7",2693000,"Errázuriz 1834, Valparaiso, Chile",1002846,1071302,1130262,1192029,1177122,1162303,1183779,1250303
"Centro de Formación Técnica","Técnico en Enfermería","CFT DE ENAC","Salud","86,7%","89,6%","RM. Región Metropolitana",728,1804,"37,7%","61,9%","0,4%","> 20% a 40%",416,"5,4","64,20%","58,60%",437,6,"6,9",821000,"Alameda 2182, Santiago",299731,311602,326514,337334,354386,371093,388715,434244
"Centro de Formación Técnica","Técnico en Enfermería","CFT INACAP","Salud","73,4%","79,9%","RM. Región Metropolitana",1758,3641,"54,1%","45,2%","0,7%","> 40% a 60%",439,"5,6","No Disponible","No Disponible",714,4,"6,3",1386170,"Av. Vitacura 10.151, Vitacura, Santiago",299731,311602,326514,337334,354386,371093,388715,434244
"Centro de Formación Técnica","Técnico en Enfermería","CFT SANTO TOMÁS","Salud","74,2%","79,4%","RM. Región Metropolitana",3732,9869,"55,1%","44,4%","0,5%","> 20% a 40%",429,"5,5","No Disponible","No Disponible",1785,5,"5,8",1139512,"Av. Ejército 146, Santiago",299731,311602,326514,337334,354386,371093,388715,434244
"Centro de Formación Técnica","Técnico en Gastronomía y Cocina","CFT DIEGO PORTALES","Administración y Comercio","58,8%","61,7%","RM. Región Metropolitana",411,1017,"38,1%","60,0%","1,9%","> 20% a 40%",404,"5,3","No Disponible","No Disponible",136,5,"9,4",913362,"Av. Salvador 1916, Ñuñoa, Santiago",348266,365443,386632,402265,419111,429992,421505,479967
"Centro de Formación Técnica","Técnico en Gastronomía y Cocina","CFT INACAP","Administración y Comercio","45,0%","48,0%","VIII. Bío Bío",1974,3779,"43,4%","50,2%","6,4%","> 40% a 60%",448,"5,5","No Disponible","No Disponible",412,4,"7,4",1666218,"Av. Vitacura 10.151, Vitacura, Santiago",348266,365443,386632,402265,419111,429992,421505,479967
"Centro de Formación Técnica","Técnico en Gastronomía y Cocina","CFT SANTO TOMÁS","Administración y Comercio","36,2%","44,4%","RM. Región Metropolitana",687,1829,"53,4%","44,4%","2,2%","> 20% a 40%",423,"5,4","No Disponible","No Disponible",272,5,"5,7",1185200,"Av. Ejército 146, Santiago",348266,365443,386632,402265,419111,429992,421505,479967
"Universidad Particular con Aporte del Estado","Tecnología Médica","UNIVERSIDAD AUSTRAL DE CHILE","Salud","92,5%","88,9%","XIV. Los Ríos",124,559,"46,2%","49,7%","4,0%","> 80% a 100%",611,"6,2","78,70%","73,60%",37,10,"14,4",2600000,"Independencia 641, Valdivia",686317,765226,841174,871393,931560,998644,1055353,1112199
"Universidad Estatal","Tecnología Médica","UNIVERSIDAD DE ANTOFAGASTA","Salud","87,3%","90,5%","II. Antofagasta",54,257,"45,6%","46,1%","8,3%","> 80% a 100%",587,"6,2","No Disponible","No Disponible",17,10,"14,2",2623000,"Avenida Angamos 601, Antofagasta",686317,765226,841174,871393,931560,998644,1055353,1112199
"Universidad Estatal","Tecnología Médica","UNIVERSIDAD DE CHILE","Salud","98,9%","100,0%","RM. Región Metropolitana",103,393,"44,7%","43,1%","12,2%","> 80% a 100%",696,"6,4","73,30%","66,30%",34,10,"11,5",2959660,"Avenida Libertador Bernardo O´Higgins 1058, Santiago",686317,765226,841174,871393,931560,998644,1055353,1112199
"Universidad Estatal","Tecnología Médica","UNIVERSIDAD DE LA FRONTERA","Salud","88,6%","83,3%","IX. La Araucanía",66,219,"41,2%","56,3%","2,5%","> 80% a 100%",645,"6,4","No Disponible","No Disponible",26,10,"11,9",2238000,"Avenida Francisco Salazar 01145, Temuco",686317,765226,841174,871393,931560,998644,1055353,1112199
"Universidad Estatal","Tecnología Médica","UNIVERSIDAD DE TALCA","Salud","95,1%","92,6%","VII. Maule",49,330,"48,4%","47,4%","4,2%","> 80% a 100%",636,"6,5","90,20%","78,70%",37,10,14,2398600,"Norte 685, Talca ",686317,765226,841174,871393,931560,998644,1055353,1112199
"Universidad Estatal","Tecnología Médica","UNIVERSIDAD DE TARAPACÁ","Salud","97,7%","97,2%","XV. Arica y Parinacota",83,474,"47,5%","48,2%","4,3%","> 80% a 100%",606,"6,4","92,00%","87,40%",29,10,"12,9",2007000," General Velásquez 1775. Arica",686317,765226,841174,871393,931560,998644,1055353,1112199
"Universidad Privada","Tecnología Médica","UNIVERSIDAD NACIONAL ANDRÉS BELLO","Salud","86,8%","90,5%","RM. Región Metropolitana",329,1406,"26,2%","61,2%","12,5%","> 80% a 100%",587,"5,8","81,00%","67,00%",102,10,"14,1",3114767,"Av. República 237, Santiago",686317,765226,841174,871393,931560,998644,1055353,1112199
"Universidad Privada","Tecnología Médica","UNIVERSIDAD SAN SEBASTIÁN","Salud","89,2%","95,3%","VIII. Bío Bío",312,950,"34,9%","56,9%","8,3%","> 80% a 100%",571,"5,7","83,50%","66,60%",50,10,14,2976325,"General Cruz 1577, Concepción",686317,765226,841174,871393,931560,998644,1055353,1112199
"Instituto Profesional","Trabajo Social","IP DIEGO PORTALES","Ciencias Sociales","59,1%","77,7%","VIII. Bío Bío",122,374,"60,4%","38,3%","1,3%","> 20% a 40%",414,"5,4","44,70%","33,40%",103,8,"11,4",780846,"Av. Salvador 1916, Ñuñoa, Santiago",423209,470521,508290,541254,579983,618356,670463,731861
"Instituto Profesional","Trabajo Social","IP INACAP","Ciencias Sociales","76,4%","87,0%","V. Valparaíso",341,1317,"56,5%","42,9%","0,6%","> 40% a 60%",431,"5,7","71,50%","62,10%",186,8,"16,9",1453681,"Av. Vitacura 10.151, Vitacura, Santiago",423209,470521,508290,541254,579983,618356,670463,731861
"Instituto Profesional","Trabajo Social","IP LA ARAUCANA","Ciencias Sociales","79,0%","84,4%","RM. Región Metropolitana",938,1681,"53,3%","46,5%","0,2%",,420,"5,4","66,80%","55,10%",88,7,"12,7",906794,"Ejercito 171, Santiago",423209,470521,508290,541254,579983,618356,670463,731861
"Instituto Profesional","Trabajo Social","IP SANTO TOMÁS","Ciencias Sociales","45,3%","84,2%","RM. Región Metropolitana",545,1275,"56,7%","43,0%","0,3%","> 40% a 60%",432,"5,5","73,90%","65,20%",61,8,9,1093600,"Av. Ejército 146, Santiago",423209,470521,508290,541254,579983,618356,670463,731861
"Universidad Particular con Aporte del Estado","Trabajo Social","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Ciencias Sociales","88,3%","100,0%","RM. Región Metropolitana",52,211,"22,0%","49,8%","28,3%","> 80% a 100%",643,"6,2","No Disponible","No Disponible",30,9,"11,2",2963000,"Avda Libertador Bernardo O Higgins 340",423209,470521,508290,541254,579983,618356,670463,731861
"Universidad Particular con Aporte del Estado","Trabajo Social","UNIVERSIDAD CATÓLICA DE TEMUCO","Ciencias Sociales","79,3%","92,7%","IX. La Araucanía",72,344,"47,1%","51,9%","1,0%","> 80% a 100%",516,"5,6","96,00%","91,90%",35,10,"12,8",1780000,"Manuel Montt Nro. 56, Temuco",423209,470521,508290,541254,579983,618356,670463,731861
"Universidad Particular con Aporte del Estado","Trabajo Social","UNIVERSIDAD CATÓLICA DEL MAULE","Ciencias Sociales","91,2%","93,4%","VII. Maule",48,243,"52,4%","45,4%","2,2%","> 80% a 100%",557,"6,1","94,40%","88,70%",35,11,"12,1",1913000,"Avda. San Miguel 3605, Talca",423209,470521,508290,541254,579983,618356,670463,731861
"Universidad Privada","Trabajo Social","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Ciencias Sociales","84,8%","90,7%","RM. Región Metropolitana",61,380,"18,1%","75,3%","6,6%","> 60% a 80%",516,"5,5","86,40%","71,20%",73,9,"10,6",2131250,"General Jofré 462, Santiago",423209,470521,508290,541254,579983,618356,670463,731861
"Universidad Estatal","Trabajo Social","UNIVERSIDAD DE ANTOFAGASTA","Ciencias Sociales","94,6%","89,1%","II. Antofagasta",46,205,"49,5%","42,7%","7,8%","> 80% a 100%",524,"5,8","76,50%","64,80%",36,10,"12,1",1938000,"Avenida Angamos 601, Antofagasta",423209,470521,508290,541254,579983,618356,670463,731861
"Universidad Privada","Trabajo Social","UNIVERSIDAD DE ARTE Y CIENCIAS SOCIALES ARCIS","Ciencias Sociales","86,3%","87,2%","RM. Región Metropolitana",59,178,"29,2%","68,8%","2,1%","> 20% a 40%",437,"5,3","No Disponible","No Disponible",41,10,16,1671000,"Libertad 53, Santiago",423209,470521,508290,541254,579983,618356,670463,731861
"Universidad Particular con Aporte del Estado","Trabajo Social","UNIVERSIDAD DE CONCEPCIÓN","Ciencias Sociales","83,3%","88,7%","VIII. Bío Bío",73,422,"44,2%","49,6%","6,2%","> 80% a 100%",582,6,"100,00%","91,20%",59,10,"13,1",1685650,"Calle Víctor Lamas 1290, Concepción",423209,470521,508290,541254,579983,618356,670463,731861
"Universidad Estatal","Trabajo Social","UNIVERSIDAD DE LA FRONTERA","Ciencias Sociales","90,4%","89,2%","IX. La Araucanía",49,199,"54,5%","42,7%","2,8%","> 80% a 100%",557,"5,9","No Disponible","No Disponible",33,10,"12,3",1641000,"Avenida Francisco Salazar 01145, Temuco",423209,470521,508290,541254,579983,618356,670463,731861
"Universidad Estatal","Trabajo Social","UNIVERSIDAD DE LOS LAGOS","Ciencias Sociales","77,2%","100,0%","X. Los Lagos",36,160,"68,5%","31,5%","0,0%","> 80% a 100%",508,"5,5","No Disponible","No Disponible",46,10,"12,2",1253000,"Avenida Fuchslocher 1305, Osorno, Chile",423209,470521,508290,541254,579983,618356,670463,731861
"Universidad Estatal","Trabajo Social","UNIVERSIDAD DE MAGALLANES","Ciencias Sociales","70,5%","82,1%","XII. Magallanes",19,70,"33,3%","59,6%","7,0%","> 60% a 80%",479,"5,8","No Disponible","No Disponible",16,10,"13,3",2090000,"Avenida Bulnes 01855, Punta Arenas ",423209,470521,508290,541254,579983,618356,670463,731861
"Universidad Estatal","Trabajo Social","UNIVERSIDAD DE VALPARAÍSO","Ciencias Sociales","88,1%","97,5%","V. Valparaíso",87,587,"29,1%","63,0%","7,9%","> 80% a 100%",576,"5,9","88,20%","82,80%",75,10,"13,2",1718000,"Errázuriz 1834, Valparaiso, Chile",423209,470521,508290,541254,579983,618356,670463,731861
"Universidad Estatal","Trabajo Social","UNIVERSIDAD DEL BÍO-BÍO","Ciencias Sociales","86,3%","100,0%","VIII. Bío Bío",92,435,"48,9%","50,1%","1,0%","> 80% a 100%",538,6,"89,40%","86,20%",76,10,"10,4",1819000,"Avda. Collao 1202, Concepción",423209,470521,508290,541254,579983,618356,670463,731861
